#1 tweet_content	#2 country_label
دىنىى ربنا يستر	Egypt
اساسا نسبكم قذر ونجس بلاش تتفاخروا بنجاستكم يا وهابيه	Iraq
لى الم اع اج الى يب الم اعر اج الى يق لا ذل يق لا وجع ولا نك	Morocco
لا نى حاضرها هذى لايف	Libya
اللهم اشفى كل شخص عباله الدنيا واقفه عليه	United_Arab_Emirates
هيتقال عليك محروق ومش عارف تعمل زيهم	Egypt
والهوسات الزينه ابيت ماجد ياسين حمدالله سلامه الادمن احمد الدلىمى	Iraq
انا من الناس المتخلفه اللى بتعمل كده للاسف بس عايزه اقول انى بفرح اكيد وببقى نفسى اقول كلام كتير للشخص ده انى فعلا مبسوطه وفرحانه جداا بس برد شكرا ونفسى انه يفهم من الكلمه دى كل ده معرفش ازاى بس هو كده وخلاص	Egypt
مشكله موريتان عنها ماتلينا نكد نصنفوها من الدول فلحره كاع نعيبوها ولا نشكروها الدوله بمفهومها العام لم تعد موجوده ولم تكن لربما كانت هنالك محاوله انشاء دوله وتبخرت مع حرب الصحراء والانقلابات التى تلت تلك الفتره والمخزى فذ كامل عنك لين تتكلم يكول لك حد هاذى السياسه لا هذا الفىافى	Mauritania
انا حبيت شهاب خلاص	Egypt
فمن ذا الذى ىنسىنى همى غير ربى استغفرك ربى من هم الدنيا همومها	Morocco
حرام عليك وليد حزام الصليهم عبدالوهاب جعفر هتان بن يطو بالعمرى حسن عطيف الفهد محمد سالم وين كديش اخاف تشوف لعيبه ثانين مانشوفهم	Saudi_Arabia
مش عارف ليه حظى قليل اوى كل ما اتنشن انا وابويا برغم بتفاهه التنشنه يروح هو تعبان وافضل اجلد واكسر نفسى اكتر وببقى عايز اى حد يهين من كرامتى وقول استاهل اشطه	Egypt
انطى دليل لسانج اطول منج جنج قيقو بس حجى ماكو دلائل	Iraq
اوك كم هدف جاب مع منتخبه	Bahrain
ايران انتو شنو مخربين	Syria
وقال فرعون ذرونى اقتل موسى صووت ججميل	Saudi_Arabia
اشد الاعمال ثلاثه الجــود مــن القــلــه والــورع فــى الخــلــوه وكلمه الحق عند من يرجى ويخاف	Djibouti
